WKT,Name,Latitude,Longitude
"POINT (106.8009185791 10.8734998703)",Point 750,10.8734998703,106.8009185791
"POINT (106.776794 10.894182)",Point 751,10.894182,106.776794
"POINT (106.790397644 10.877366066)",Point 752,10.877366066,106.790397644
"POINT (106.78236 10.888954)",Point 753,10.888954,106.78236
"POINT (106.78307 10.888605)",Point 754,10.888605,106.78307
"POINT (106.77748 10.90287)",Point 755,10.90287,106.77748
"POINT (106.774414 10.902496)",Point 756,10.902496,106.774414
"POINT (106.77061 10.899296)",Point 757,10.899296,106.77061
"POINT (106.7901763916 10.8925418854)",Point 758,10.8925418854,106.7901763916
"POINT (106.8104400635 10.8782815933)",Point 759,10.8782815933,106.8104400635
"POINT (106.787704 10.892045)",Point 760,10.892045,106.787704
"POINT (106.78103 10.891177)",Point 761,10.891177,106.78103
"POINT (106.7791213989 10.9043283463)",Point 762,10.9043283463,106.7791213989
"POINT (106.78014 10.8906355)",Point 763,10.8906355,106.78014
"POINT (106.77584 10.894287)",Point 764,10.894287,106.77584
"POINT (106.7859420776 10.894698143)",Point 765,10.894698143,106.7859420776
"POINT (106.7954025269 10.8799800873)",Point 766,10.8799800873,106.7954025269
"POINT (106.7867 10.90051)",Point 767,10.90051,106.7867
"POINT (106.78694 10.887746)",Point 768,10.887746,106.78694
"POINT (106.77836 10.898419)",Point 769,10.898419,106.77836
"POINT (106.7782058716 10.9043483734)",Point 770,10.9043483734,106.7782058716
"POINT (106.7825 10.89203)",Point 771,10.89203,106.7825
"POINT (106.80064 10.876633)",Point 772,10.876633,106.80064
"POINT (106.7779 10.893196)",Point 773,10.893196,106.7779
"POINT (106.7863693237 10.8984222412)",Point 774,10.8984222412,106.7863693237
"POINT (106.783066 10.897696)",Point 775,10.897696,106.783066
"POINT (106.7789154053 10.8958005905)",Point 776,10.8958005905,106.7789154053
"POINT (106.7839584351 10.8851366043)",Point 777,10.8851366043,106.7839584351
"POINT (106.772026 10.90149)",Point 778,10.90149,106.772026
"POINT (106.78648 10.886607)",Point 779,10.886607,106.78648
"POINT (106.7798843384 10.9005289078)",Point 780,10.9005289078,106.7798843384
"POINT (106.7894439697 10.8899707794)",Point 781,10.8899707794,106.7894439697
