original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,average_travel_time_s,average_speed_kmh,assigned_grid_area_km2,assigned_grid_area_m2,Popij,Sij_m,forward_source_link_name
74,19_4,Forward,19,4,10.874543,106.8001747,10.8764075,106.8024855,Student Cultural House - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",470,77,21.97402597,0.00378,3780,19.85167206,5.717266196,
75,19_65,Forward,19,65,10.874543,106.8001747,10.8809022,106.7955379,Student Cultural House - Creative Square - Linh Trung Ward,VNU-HCM Guest House - Opposite VNU-HCM Guest House (Stop CX 353-355) - Nguyen Du Street - Linh Trung Ward,1153,149,27.85771812,0.06615,66150,228.8227373,44.046169,
76,20_21,U-turn,20,21,10.8716853,106.7981465,10.8710814,106.797648,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,Fishing Lake - In Front of House No. 21/6 (Utility Pole 167) - Alexandre de Rhodes Street - Linh Trung Ward,84,13,23.26153846,0,0,0,0,
77,20_24,Forward,20,24,10.8716853,106.7981465,10.8734223,106.802275,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,"University of Social Sciences and Humanities, VNU-HCM - Creative Square - Linh Trung Ward",537,109,17.73577982,0.08001,80010,557.4263694,73.80819997,
78,20_19,Forward,20,19,10.8716853,106.7981465,10.874543,106.8001747,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,Student Cultural House - Creative Square - Linh Trung Ward,648,109,21.40183486,0.00504,5040,29.55787864,6.492702801,
79,20_4,Forward,20,4,10.8716853,106.7981465,10.8764075,106.8024855,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",906,153,21.31764706,0.03717,37170,204.7184988,22.36336374,
80,21_22,Forward,21,22,10.8710814,106.797648,10.8705742,106.795856,Fishing Lake - In Front of House No. 21/6 (Utility Pole 167) - Alexandre de Rhodes Street - Linh Trung Ward,University of Physical Education and Sports - Vo Truong Toan Street - Linh Trung Ward,222,35,22.83428571,0.29988,299880,1547.341477,264.2080266,
81,21_20,U-turn,21,20,10.8710814,106.797648,10.8716853,106.7981465,Fishing Lake - In Front of House No. 21/6 (Utility Pole 167) - Alexandre de Rhodes Street - Linh Trung Ward,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,368,88,15.05454545,0,0,0,0,
82,22_28,Forward,22,28,10.8705742,106.795856,10.8667878,106.7945856,University of Physical Education and Sports - Vo Truong Toan Street - Linh Trung Ward,VNU-HCM Information Technology Park - Vo Truong Toan Street,484,55.91425454,31.162,0.1386,138600,584.6750323,171.3302975,
83,23_20,Backward,23,20,10.870383,106.7958583,10.8716853,106.7981465,VNU-HCM Central Library - Rear Gate of VNU-HCM Central Library - Vo Truong Toan Street - Linh Trung Ward,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,356,34.62847879,37.01,0.29988,299880,1547.341477,264.2080266,21_22
84,24_19,Forward,24,19,10.8734223,106.802275,10.874543,106.8001747,"University of Social Sciences and Humanities, VNU-HCM - Creative Square - Linh Trung Ward",Student Cultural House - Creative Square - Linh Trung Ward,270,40,24.3,0.01323,13230,74.17962018,29.58673396,
85,24_6,Backward,24,6,10.8734223,106.802275,10.875778,106.8051008,"University of Social Sciences and Humanities, VNU-HCM - Creative Square - Linh Trung Ward",VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,529,80.72570048,23.591,0.00504,5040,15.36326314,5.621898825,5_25
