original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name
49,13_12,Forward,13,12,10.8801103,106.807183,10.8778558,106.805685,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,298,0.298,69,1.15,15.54782609,0,0,0,0,0,0,0,13_12
50,14_13,U-turn,14,13,10.879921,106.80729,10.8801103,106.807183,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",711,0.711,1005,16.75,2.546865672,0,0,0,0,0,0,0,
51,14_15,Forward,14,15,10.879921,106.80729,10.880791,106.810634,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",682,0.682,111,1.85,22.11891892,1,0.010038422,10038.42197,41.3889827,41.3889827,4.419017048,0.004419017,14_15
52,14_41,Forward,14,41,10.879921,106.80729,10.8873942,106.8047072,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1221,1.221,173,2.883333333,25.40809249,1,0.010038466,10038.46551,0.20076931,0.20076931,5.963389443,0.005963389,14_41
53,14_1,Forward,14,1,10.879921,106.80729,10.8771068,106.8028618,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","International University, VNU-HCM",1687,1.687,335.6286267,5.593810445,18.095,2,0.020076935,20076.93536,43.27795698,43.27795698,2.237326343,0.002237326,14_1
54,14_35,Forward,14,35,10.879921,106.80729,10.8809737,106.8142454,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Opposite New Eastern Bus Station,1496,1.496,140.8220897,2.347034829,38.244,2,0.020076814,20076.81446,78.05133474,78.05133474,7.836468041,0.007836468,14_35
55,14_42,Forward,14,42,10.879921,106.80729,10.883092,106.8,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,1597,1.597,211,3.516666667,27.24739336,5,0.050192401,50192.40088,15.8586932,15.8586932,18.85484049,0.01885484,14_42
56,14_43,Forward,14,43,10.879921,106.80729,10.8850557,106.8000822,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",National Defense and Security Education Center,1731,1.731,233,3.883333333,26.74506438,6,0.060230848,60230.84757,25.17488,25.17488,8.074542722,0.008074543,14_43
57,14_79,Forward,14,79,10.879921,106.80729,10.8892959,106.8055626,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate,1984,1.984,277,4.616666667,25.78483755,6,0.046100371,46100.37098,0.92200742,0.92200742,27.91754113,0.027917541,14_79
58,14_40,Forward,14,40,10.879921,106.80729,10.8876326,106.8046342,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Ho Da Park - Dong Hoa,2140,2.14,329,5.483333333,23.41641337,1,0.010038457,10038.45729,0.200769146,0.200769146,22.0682901,0.02206829,14_40
59,15_10,Forward,15,10,10.880791,106.810634,10.8762014,106.807517,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,611,0.611,68,1.133333333,32.34705882,4,0.040153756,40153.7562,209.7829752,209.7829752,49.34032894,0.049340329,15_10
60,15_33,Forward,15,33,10.880791,106.810634,10.8713888,106.8066598,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",People's Security University - Tien Thanh Factory - National Highway 1,1260,1.26,266,4.433333333,17.05263158,5,0.050192157,50192.15735,223.8255049,223.8255049,14.7498783,0.014749878,15_33
61,16_13,Backward,16,13,10.8807,106.81078,10.8801103,106.807183,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",704,0.704,103,1.716666667,24.60582524,1,0.010038422,10038.42197,41.3889827,41.3889827,4.419017048,0.004419017,14_15
62,16_35,Forward,16,35,10.8807,106.81078,10.8809737,106.8142454,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Opposite New Eastern Bus Station,944,0.944,188.7580538,3.145967563,18.004,0,0,0,0,0,0,0,16_35
63,16_41,Forward,16,41,10.8807,106.81078,10.8873942,106.8047072,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1215,1.215,171,2.85,25.57894737,4,0.040153772,40153.77187,8.230464162,8.230464162,6.541581127,0.006541581,16_41
64,16_79,Forward,16,79,10.8807,106.81078,10.8892959,106.8055626,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate,1434,1.434,179,2.983333333,28.84022346,5,0.050192176,50192.17617,11.80730915,11.80730915,13.67334002,0.01367334,16_79
65,16_40,Forward,16,40,10.8807,106.81078,10.8876326,106.8046342,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Ho Da Park - Dong Hoa,1591,1.591,230,3.833333333,24.9026087,2,0.020076832,20076.83175,56.106872,56.106872,4.565579051,0.004565579,16_40
