original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name,assignment_source_original_index
54,14_35,Forward,14,35,10.879921,106.80729,10.8809737,106.8142454,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Opposite New Eastern Bus Station,1496,1.496,140.8220897,2.347034829,38.244,3,0.007528802,7528.802296,27.24997969,27.24997969,2.41449967,0.0024145,,
55,14_42,Forward,14,42,10.879921,106.80729,10.883092,106.8,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,1597,1.597,211,3.516666667,27.24739336,20,0.050192393,50192.3926,25.22789856,25.22789856,24.56602077,0.024566021,,
56,14_43,Forward,14,43,10.879921,106.80729,10.8850557,106.8000822,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",National Defense and Security Education Center,1731,1.731,233,3.883333333,26.74506438,18,0.045173168,45173.16797,23.03620228,23.03620228,8.146940564,0.008146941,,
57,14_79,Forward,14,79,10.879921,106.80729,10.8892959,106.8055626,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate,1984,1.984,277,4.616666667,25.78483755,26,0.060655935,60655.93465,22.64874372,22.64874372,21.03838961,0.02103839,,
58,14_40,Forward,14,40,10.879921,106.80729,10.8876326,106.8046342,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Ho Da Park - Dong Hoa,2140,2.14,329,5.483333333,23.41641337,8,0.020076912,20076.91207,6.849655656,6.849655656,1.891496597,0.001891497,,
59,15_10,Forward,15,10,10.880791,106.810634,10.8762014,106.807517,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,611,0.611,68,1.133333333,32.34705882,19,0.047682565,47682.56474,248.7701641,248.7701641,41.71387563,0.041713876,,
60,15_33,Forward,15,33,10.880791,106.810634,10.8713888,106.8066598,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",People's Security University - Tien Thanh Factory - National Highway 1,1260,1.26,266,4.433333333,17.05263158,17,0.042663344,42663.34423,179.4832355,179.4832355,19.12551477,0.019125515,,
61,16_13,Backward,16,13,10.8807,106.81078,10.8801103,106.807183,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",704,0.704,103,1.716666667,24.60582524,4,0.010038422,10038.42177,40.45782749,40.45782749,19.99946869,0.019999469,14_15,51
62,16_35,Forward,16,35,10.8807,106.81078,10.8809737,106.8142454,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Opposite New Eastern Bus Station,944,0.944,188.7580538,3.145967563,18.004,0,0,0,0,0,0,0,,
63,16_41,Forward,16,41,10.8807,106.81078,10.8873942,106.8047072,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1215,1.215,171,2.85,25.57894737,11,0.027605714,27605.71431,12.83836539,12.83836539,6.254892719,0.006254893,,
64,16_79,Forward,16,79,10.8807,106.81078,10.8892959,106.8055626,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate,1434,1.434,179,2.983333333,28.84022346,28,0.070182945,70182.94456,42.00923837,42.00923837,17.81847011,0.01781847,,
65,16_40,Forward,16,40,10.8807,106.81078,10.8876326,106.8046342,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Ho Da Park - Dong Hoa,1591,1.591,230,3.833333333,24.9026087,10,0.025096105,25096.1053,10.08693524,10.08693524,7.421285522,0.007421286,,
66,16_42,Forward,16,42,10.8807,106.81078,10.883092,106.8,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,1590,1.59,209,3.483333333,27.38755981,18,0.04517308,45173.07988,60.06923587,60.06923587,13.12272958,0.01312273,,
67,16_1,Forward,16,1,10.8807,106.81078,10.8771068,106.8028618,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward","International University, VNU-HCM",1665,1.665,178.7279721,2.978799535,33.537,14,0.035134569,35134.56918,157.7229988,157.7229988,39.3840473,0.039384047,,
68,16_43,Forward,16,43,10.8807,106.81078,10.8850557,106.8000822,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",National Defense and Security Education Center,1725,1.725,230,3.833333333,27,17,0.042663462,42663.46181,37.18919558,37.18919558,11.13294818,0.011132948,,
69,17_11,Forward,17,11,10.8765308,106.805115,10.877729,106.805858,Bus Stop 33,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,165,0.165,33,0.55,18,5,0.01254808,12548.07959,48.52477396,48.52477396,40.49003013,0.04049003,,
70,18_65,Forward,18,65,10.8743785,106.7999792,10.8809022,106.7955379,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,VNU-HCM Guest House - Opposite VNU-HCM Guest House (Stop CX 353-355) - Nguyen Du Street - Linh Trung Ward,1155,1.155,150,2.5,27.72,111,0.278570177,278570.1765,955.5466115,955.5466115,200.3156087,0.200315609,,
71,18_4,Backward,18,4,10.8743785,106.7999792,10.8764075,106.8024855,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",472,0.472,77,1.283333333,22.06753247,5,0.012548146,12548.1464,63.68693737,63.68693737,5.263158034,0.005263158,3_18,13
72,18_24,Forward,18,24,10.8743785,106.7999792,10.8734223,106.802275,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,"University of Social Sciences and Humanities, VNU-HCM - Creative Square - Linh Trung Ward",268,0.268,37,0.616666667,26.07567568,4,0.010038515,10038.51493,58.4956234,58.4956234,27.88880386,0.027888804,,
